Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4
s__Lachnoclostridium_sp._210928_DFI_6_3	-0.0535655516779135	0.100510119549072	0.538790315440299	0.498269240094734	0.451111200165041	0.538053497253805	-0.10750322790893	0.222805639745366	1.00136941436169	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_lactaris	-0.622537571839084	-0.780496934854975	-1.07046512260361	0.309945453354391	0.300103738143297	0.369288510095483	-2.00853913197196	-2.60075712379928	-2.89872306703187	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Ruminococcus_sp._NSJ_71	-0.356617009547656	-0.561401952818456	0.0890135532136957	0.598532801114681	0.570241412450218	0.702109075631877	-0.595818656694351	-0.984498741342232	0.126780234443752	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruthenibacterium_lactatiformans	0.26956554539374	-0.0736070816942164	-0.0480140495980219	0.306825868378912	0.274606775633422	0.32528619139198	0.878561989632641	-0.26804539518164	-0.147605557409486	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Butyrivibrio_crossotus	-0.210677562988953	0.158798964873524	-0.136397098189421	0.490935938766857	0.413414475171633	0.520121636065449	-0.429134529279191	0.384115637962597	-0.262240769719215	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp._10	0.353386177492279	0.362515916581025	0.374910652323784	0.347326429705983	0.327796481360112	0.40120336330669	1.01744683752234	1.1059176568243	0.934465377442992	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
s__sp._11	-0.120679951808667	-0.0823962339931534	-0.149142171533082	0.256763732526655	0.226996592160231	0.298042942907271	-0.470003884976783	-0.362984453682865	-0.500404975465179	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Flavonifractor_plautii	-0.353144757119951	-0.332187595862805	-0.636068863335332	0.263500795446258	0.234536018574092	0.280328211438286	-1.34020376113808	-1.41636068473578	-2.26901480971836	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Prevotellamassilia_timonensis	0.535261756171241	1.82135129888738	1.69663109635661	0.570040541467545	0.539102193842384	0.7244725825391	0.938988926635346	3.37848986646841	2.34188447878915	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Roseburia_sp._BX1005	-0.0751706533458089	-0.0147818765683052	-0.343160482967578	0.315540945912123	0.295954685218416	0.378332378682001	-0.238227888708757	-0.0499464185113207	-0.907034402297388	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Olsenella_uli	0.470656115264584	1.35947482700382	1.36469106068763	0.55881963858751	0.514553120953606	0.653437905997862	0.842232596646439	2.64204952150391	2.08847856569266	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Gallintestinimicrobium_propionicum	-0.200809240646149	0.0842021163837483	-0.564328074802031	0.408014732785018	0.371110793300835	0.443045347188553	-0.492161739541779	0.226892124680112	-1.27374788694454	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Roseburia_hominis	-0.213609481373848	0.00845858828860935	-0.184108390174876	0.302755834110505	0.285566542423379	0.346220109233315	-0.705550338943695	0.0296203757514027	-0.531766888360625	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_sp._BSD2780120874_150323_B10	-0.911722402207791	-0.268177701528616	-0.783775262124697	0.625726855954459	0.527021199236695	0.684485445221724	-1.45706132561161	-0.508855624625779	-1.14505760143784	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Vescimonas_fastidiosa	-0.0187454291875505	0.508375657817234	0.439269165790937	0.418621462975396	0.400006104988328	0.490008293485427	-0.0447789491114846	1.27091974716753	0.896452512398141	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Faecalicatena_fissicatena	-0.831399753129366	-0.817027910122414	-0.949824784950188	0.429395955395256	0.391813978399774	0.483204759163181	-1.93620769521238	-2.08524441486053	-1.96567762824833	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Simiaoa_sunii	-0.0427571790416384	-0.22681021319868	0.00656913000237769	0.477163244896762	0.426809151398811	0.578225090463473	-0.0896070254759233	-0.531408973906346	0.0113608525654123	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_sp._FMBCY1	-0.825908104906619	-0.345295934905155	-0.305444700788288	0.576033197337241	0.497806021083371	0.719416159331831	-1.43378560250424	-0.693635513193856	-0.42457303304387	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
