"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Barnesiella_intestinihominis","GO:0006633",0.117533129459735,-0.533801580333626,109,68,6.78081385332806e-06,0.0490594728891098,0.651334709793361,7,2,"fatty acid biosynthetic process","BP"
"s__Roseburia_faecis","GO:0000105",0.306257935788137,-0.141317986697486,149,86,0.000890359661950449,0.0933158992068922,0.447575922485623,1,1,"histidine biosynthetic process","BP"
"s__Alistipes_ihumii","GO:0004672",0.0792141820443707,-0.431693989071038,105,62,0.00101692131583503,0.0942794003147865,0.510908171115409,2,1,"protein kinase activity","MF"
"s__Vescimonas_fastidiosa","GO:0005215",0.0367655333172575,-0.392499646209727,144,86,0.00116991288958028,0.0954898384616611,0.429265179526984,25,1,"transporter activity","MF"
"s__Alistipes_ihumii","GO:0006468",0.116089570806552,-0.408123693686888,105,62,0.000842089023455907,0.0913447153570583,0.52421326449344,2,1,"protein phosphorylation","BP"
"s__Adlercreutzia_equolifaciens","GO:0016810",-0.0586668580797739,0.389386291806217,147,86,0.000696513690870102,0.0891344997407774,0.448053149885991,21,1,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF"
"s__Roseburia_inulinivorans","GO:0016765",-0.114575197029655,-0.56652672295863,148,86,0.000139123634895886,0.0713457356520512,0.451951525928975,15,1,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF"
"s__Anthropogastromicrobium_aceti","GO:0051301",0.0850235251002269,-0.39231095806406,148,86,0.000303797839262528,0.0804737967828592,0.477334483164287,8,2,"cell division","BP"
"s__Phascolarctobacterium_succinatutens","GO:0051301",0.0890529738517816,-0.424849094567404,121,71,0.000395092342592739,0.0838182743046852,0.513902068419186,38,2,"cell division","BP"
"s__Dorea_ammoniilytica","GO:0005506",0.13288442531012,0.564564138908575,148,84,0.000288665756775989,0.0803975280395065,0.431679713598455,15,1,"iron ion binding","MF"
"s__Prevotella_sp._P5_64","GO:0005978",-0.0389104566319756,-0.556390977443609,78,56,0.00113939023983735,0.0949568926561188,0.517480520811633,40,1,"glycogen biosynthetic process","BP"
"s__Dorea_sp._AM10_31","GO:0004814",-0.347276464542652,0.0919093218682822,139,85,0.00120405549382485,0.0965169870795952,0.439185786410934,4,1,"arginine-tRNA ligase activity","MF"
"s__Dorea_sp._AM10_31","GO:0006420",-0.347276464542652,0.0919093218682822,139,85,0.00120405549382485,0.0965169870795952,0.439185786410934,4,1,"arginyl-tRNA aminoacylation","BP"
"s__Roseburia_inulinivorans","GO:0006400",-0.102592388306674,-0.594905420066984,148,86,2.58215115527706e-05,0.0610440045602667,0.49231303176031,15,1,"tRNA modification","BP"
"s__Bacteroides_xylanisolvens","GO:0006813",0.310035366931919,0.709055501460565,144,79,8.01483169544656e-05,0.0701594561540619,0.399020134528646,25,1,"potassium ion transport","BP"
"s__Blautia_sp._MSJ_19","GO:0004478",0.306500035167341,-0.138751827916411,148,86,0.000960354865621201,0.0935868372687445,0.445251863083752,7,1,"methionine adenosyltransferase activity","MF"
"s__Blautia_sp._MSJ_19","GO:0006556",0.306500035167341,-0.138751827916411,148,86,0.000960354865621201,0.0935868372687445,0.445251863083752,7,1,"S-adenosylmethionine biosynthetic process","BP"
"s__Catenibacterium_mitsuokai","GO:0004565",-0.299102059103553,0.155996809537803,137,83,0.00102940195465402,0.0945515389416827,0.455098868641355,12,1,"beta-galactosidase activity","MF"
"s__Mediterraneibacter_butyricigenes","GO:0005694",-0.0207509522945765,0.40343951534102,149,85,0.00122890852226492,0.0973380592232391,0.424190467635597,2,1,"chromosome","CC"
"s__Dysosmobacter_sp._BX15","GO:0008745",-0.306168721621856,0.130017588430721,146,85,0.00130790444114315,0.099280616060892,0.436186310052577,3,1,"N-acetylmuramoyl-L-alanine amidase activity","MF"
"s__Ruminococcus_sp._210702_SL_1_03","GO:0043190",-0.108945886768846,-0.542084715167289,139,83,0.00044510406385475,0.0838182743046852,0.433138828398444,10,1,"ATP-binding cassette (ABC) transporter complex","CC"
"s__Dorea_sp._AF36_15AT","GO:0008173",0.135131433309765,0.545914751442746,148,84,0.000637236780325891,0.0888826995760413,0.410783318132981,24,1,"RNA methyltransferase activity","MF"
"s__Blautia_ammoniilytica","GO:0004825",-0.0786156653846011,0.356309259870749,148,86,0.00110386776275398,0.0945808635358021,0.43492492525535,8,1,"methionine-tRNA ligase activity","MF"
"s__Blautia_obeum","GO:0009113",-0.0141520043533466,0.437482900136799,149,86,0.000471561363786465,0.0838182743046852,0.451634904490146,26,6,"purine nucleobase biosynthetic process","BP"
"s__Oscillibacter_sp._ER4","GO:0009113",0.0586915446386396,-0.482654842209538,145,86,2.5157130459312e-05,0.0610440045602667,0.541346386848178,31,6,"purine nucleobase biosynthetic process","BP"
"s__Prevotella_stercorea","GO:0009113",-0.0173565117644649,-0.45656974604343,130,77,0.00122893946365107,0.0973380592232391,0.439213234278965,9,6,"purine nucleobase biosynthetic process","BP"
"s__Prevotella_hominis","GO:0009113",0.0179041240988144,-0.451475979162647,112,72,0.00112240369509583,0.0949568926561188,0.469380103261461,9,6,"purine nucleobase biosynthetic process","BP"
"s__Simiaoa_sunii","GO:0009113",-0.0700779886824829,-0.478893883134649,146,85,0.00119719607023741,0.0964755634865582,0.408815894452166,20,6,"purine nucleobase biosynthetic process","BP"
"s__Intestinimonas_sp._MSJ_38","GO:0009113",0.0761660458333648,-0.38810321241568,147,86,0.000452916529697311,0.0838182743046852,0.464269258249045,12,6,"purine nucleobase biosynthetic process","BP"
"s__Phocea_massiliensis","GO:0009396",-0.192668626132423,-0.569224963441672,147,86,0.00113404086268761,0.0949568926561188,0.376556337309249,18,2,"folic acid-containing compound biosynthetic process","BP"
"s__Suilimivivens_aceti","GO:0009396",-0.219196185639139,-0.640058493325157,148,86,0.000109566374129662,0.0701594561540619,0.420862307686018,13,2,"folic acid-containing compound biosynthetic process","BP"
