Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss
s__Gemella_haemolysans	-1.21490725047798e-09	-0.0233077866034501	-0.200553478633711	0.504005668142928	0.441618588895374	0.582779752011494	0.200553478633711	0.901	0.973945945945946	FALSE	TRUE
s__Streptococcus_sanguinis	-3.44001732083742e-10	-0.409553204479439	-0.702041186321178	0.401198849654482	0.38931229514572	0.46003449509084	0.702041186321178	0.121	0.9317	FALSE	TRUE
s__Actinomyces_graevenitzii	2.7074801808041e-11	0.146664360940845	0.447895778830912	0.491875733819467	0.47023034321309	0.593733380478013	0.447895778830912	0.557	0.973945945945946	FALSE	TRUE
s__Streptococcus_pseudopneumoniae	0.193583497712977	0.19358349780602	0.193583498052129	0.308278421618511	0.280824344269523	0.362204268321242	0.193583498052129	0.737	0.973945945945946	FALSE	FALSE
s__Streptococcus_sp._263_SSPC	0.406639679613769	0.406639679651322	0.406639679774118	0.404991257841067	0.355041875086583	0.449612563669458	0.406639679774118	0.455	0.973945945945946	FALSE	TRUE
s__Veillonella_atypica	2.26138550264913e-11	0.371396205671938	0.58185273507468	0.498402943175376	0.4664023287574	0.61389398011487	0.58185273507468	0.45	0.973945945945946	FALSE	TRUE
s__Haemophilus_parahaemolyticus	-5.4804687267656e-11	-0.692323756651393	-0.733598377824159	0.603827091527076	0.548170674258071	0.743958327234124	0.733598377824159	0.405	0.973945945945946	FALSE	TRUE
s__Prevotella_histicola	2.65938362057761e-11	0.758960912581098	1.24588372938991	0.542447175408052	0.492171114944662	0.621905010109134	1.24588372938991	0.048	0.528	FALSE	TRUE
s__Streptococcus_cristatus	-0.029753129385254	-0.0297531295390392	-0.14620823485105	0.426051061037929	0.412698702491372	0.493037201020681	0.14620823485105	0.926	0.973945945945946	FALSE	TRUE
s__Streptococcus_pneumoniae	0.157410356663739	0.157410356610854	0.15741035645436	0.326556383147349	0.300983183075561	0.390597532989067	0.15741035645436	0.876	0.973945945945946	FALSE	TRUE
s__Neisseria_subflava	0.351474654419864	0.351474654450403	0.351474654604434	0.540285859931291	0.498452327104656	0.63075321393492	0.351474654604434	0.741	0.973945945945946	FALSE	TRUE
s__Streptococcus_australis	-1.05485570834423e-11	-0.303123886879349	-0.50344211274613	0.39608703959997	0.358488457473886	0.460175853227117	0.50344211274613	0.321	0.973945945945946	FALSE	TRUE
