Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO:0015847	6.41006356875792e-11	1.83295372531071e-10	0.309622942303631	0.206079987241789	0.183498994278808	0.243204223409231	0.309622942303631	0.24	0.967496855345912	FALSE	TRUE	putrescine transport	BP	The directed movement of putrescine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Putrescine is 1,4-diaminobutane, the polyamine formed by decarboxylation of ornithine and the metabolic precursor of spermidine and spermine.
GO:0046353	5.57198475237663e-11	0.0198082404745983	0.185228180502792	0.209884581132568	0.201940643386851	0.256388222782522	0.185228180502792	0.602	0.99941354224958	FALSE	TRUE	aminoglycoside 3-N-acetyltransferase activity	MF	Catalysis of the reaction: acetyl-CoA + aminoglycoside = CoA + 3-N-acetylaminoglycoside. This is acetylation of the 3-amino group of the central deoxystreptamine ring.
GO:0046537	5.00679961822466e-10	0.519160047159743	1.07571380834935	0.280562678832825	0.240754932951432	0.319586662397572	1.07571380834935	0.003	0.110352941176471	FALSE	TRUE	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	MF	Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D glycerate; this reaction does not require the cofactor 2,3-bisphosphoglycerate.
GO:0001000	7.85675379295309e-12	0.0395462458388578	0.389330825787927	0.182808735470392	0.194687231322317	0.252622765337573	0.389330825787927	0.148	0.967496855345912	FALSE	TRUE	bacterial-type RNA polymerase core enzyme binding	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
GO:0047669	-0.0453385687442991	-0.272906198280672	-0.272906198399634	0.233172985691221	0.184019024635963	0.267453714124483	0.272906198399634	0.381	0.99941354224958	FALSE	TRUE	amylosucrase activity	MF	Catalysis of the reaction: sucrose + 1,4-alpha-D-glucosyl(n) = D-fructose + 1,4-alpha-D-glucosyl(n+1).
GO:0006654	0.27033008278013	0.270330082715928	0.270330082716097	0.195484540993252	0.208895050191078	0.235448590086964	0.270330082716097	0.338	0.99941354224958	FALSE	TRUE	phosphatidic acid biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of phosphatidic acid, any derivative of glycerol phosphate in which both the remaining hydroxyl groups of the glycerol moiety are esterified with fatty acids.
GO:0008193	0.305080862626029	0.315040660770447	0.315040660823537	0.223351977424895	0.208312531327477	0.277196457900624	0.315040660823537	0.313	0.99941354224958	FALSE	TRUE	tRNA guanylyltransferase activity	MF	Catalysis of the posttranscriptional addition of a guanyl residue to the 5' end of a tRNA molecule; observed for His tRNAs.
GO:0003884	0.0649051700495765	0.0649051701410615	0.10043520951129	0.242499151202726	0.1986422522124	0.274372307292907	0.10043520951129	0.898	0.99941354224958	FALSE	TRUE	D-amino-acid oxidase activity	MF	Catalysis of the reaction: a D-amino acid + H2O + O2 = a 2-oxo acid + NH3 + hydrogen peroxide.
GO:0010125	-3.91266894522985e-12	8.45358768174143e-10	0.969719089011792	0.214742540597324	0.178972246157084	0.254099664594703	0.969719089011792	0	0	TRUE	FALSE	mycothiol biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of mycothiol, which consists of N-acetyl-L-cysteine linked to a pseudodisaccharide, D-glucosamine and myo-inositol. Mycothiol is produced in actinomycetes like mycobacteria and serves similar functions to glutathione.
GO:0019594	3.4761125171604e-10	0.0256477859921064	0.130144880498852	0.223265940466801	0.191822834253976	0.256091835908164	0.130144880498852	0.797	0.99941354224958	FALSE	TRUE	mannitol metabolic process	BP	The chemical reactions and pathways involving mannitol, the alditol derived from D-mannose by reduction of the aldehyde group.
