"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Dorea_formicigenerans","GO.0006352.InterPro.",0.725296442687747,0.362648221343874,23,23,0.0933922755580383,0.16344872226322
"s__Bacteroides_fragilis","GO.0016772.InterPro.",0.638260869565217,0.425641025641026,24,26,0.327866475529395,0.386085756230876
"s__Ruminococcus_gnavus","GO.0016772.InterPro.",0.810434782608696,0.583076923076923,24,25,0.135241663278657,0.207629498715013
"s__Oscillibacter_sp._MSJ_31","GO.0016772.InterPro.",-0.00294117647058824,-0.687719298245614,16,19,0.0277684980516903,0.0869494448391617
"s__Dorea_longicatena","GO.0008270.InterPro.",0.640769230769231,0.193913043478261,25,24,0.0694109552701366,0.137188711592741
"s__Mediterraneibacter_faecis","GO.0003918.InterPro.",0.79785431959345,0.42094861660079,22,23,0.0476718489108827,0.112649888116272
"s__Vescimonas_coprocola","GO.0003924.InterPro.",-0.740196078431373,-0.197110423116615,17,18,0.0482920535889149,0.113208825701515
"s__Prevotella_sp._885","GO.0000287.InterPro.",0.711278195488722,-0.0939112487100103,20,18,0.00658829471653568,0.0478564786169986
"s__Mediterraneibacter_faecis","GO.0000287.InterPro.",0.814793901750424,0.50395256916996,22,23,0.0709089520129142,0.139058800834664
"s__Faecalibacterium_prausnitzii","GO.0030246.InterPro.",0.245384615384615,0.664596273291925,25,22,0.0847887369271413,0.155072402218224
"s__Ruminococcus_gnavus","GO.0030246.InterPro.",0.674901185770751,0.320769230769231,23,25,0.121416623878825,0.194002649023774
"s__Blautia_wexlerae","GO.0030170.InterPro.",0.515652173913044,0.644347826086957,24,24,0.533041059614118,0.571775268567531
"s__Ruminococcus_gnavus","GO.0030170.InterPro.",0.662608695652174,0.320769230769231,24,25,0.133950770393769,0.206383327529814
"s__Dorea_longicatena","GO.0030170.InterPro.",0.613846153846154,0.459130434782609,25,24,0.478828873490473,0.522358771080516
"s__Ruminococcus_torques","GO.0030170.InterPro.",0.626086956521739,0.285384615384615,24,25,0.155091424593536,0.225634039573607
"s__Dorea_formicigenerans","GO.0030170.InterPro.",0.686758893280632,0.58102766798419,23,23,0.579168621050071,0.614338696581563
"s__Dorea_longicatena","GO.0051539.InterPro.",0.693076923076923,0.270434782608696,25,24,0.0626485742642805,0.129054765981394
"s__Roseburia_intestinalis","GO.0051539.InterPro.",0.647233201581028,-0.0454545454545455,23,23,0.0113847553864353,0.0588073455393027
"s__Ruminococcus_gnavus","GO.0008236.InterPro.",0.64695652173913,0.147692307692308,24,25,0.04545800135293,0.11010353241794
"s__Prevotella_sp._885","GO.0016881.InterPro.",0.724561403508772,0.289989680082559,19,18,0.0912159946333244,0.161543995853258
"s__Prevotella_sp._Marseille_P4119","GO.0016881.InterPro.",0.680406549971767,0.337944664031621,22,23,0.142707370909473,0.213697625029126
"s__Dorea_longicatena","GO.0016881.InterPro.",0.632173913043478,0.0660869565217391,24,24,0.0307855158362767,0.0903285276852288
"s__Mediterraneibacter_faecis","GO.0016881.InterPro.",0.780914737436477,0.41501976284585,22,23,0.0624378147177304,0.129054765981394
"s__Roseburia_inulinivorans","GO.0016020.PANTHER.",0.624347826086956,0.384387351778656,24,23,0.302632874114688,0.364026177932704
"s__Ruminococcus_gnavus","GO.0016020.PANTHER.",0.638260869565217,0.129230769230769,24,25,0.0441257143685829,0.108560334931911
"s__Ruminococcus_gnavus","GO.0051287.InterPro.",0.721739130434783,0.34,24,25,0.0721597767156013,0.140419024960089
"s__Dorea_formicigenerans","GO.0051287.InterPro.",0.647233201581028,0.520750988142292,23,23,0.54736524662712,0.585261108892467
"s__Blautia_wexlerae","GO.0016616.InterPro.",0.24703557312253,0.646086956521739,23,24,0.104058564287074,0.176329786169451
"s__Ruminococcus_gnavus","GO.0016616.InterPro.",0.726284584980237,0.373076923076923,23,25,0.0923017249592195,0.162589135010009
"s__Ruminococcus_torques","GO.0016616.InterPro.",0.635375494071146,0.183846153846154,23,25,0.073051180776096,0.141218940152365
"s__Escherichia_coli","GO.0004222.InterPro.",-0.155844155844156,-0.657391304347826,21,24,0.0533164455891102,0.118600517048159
"s__Prevotella_sp._885","GO.0006457.InterPro.",0.745614035087719,0.00309597523219814,19,18,0.00896183861918046,0.0531847497912157
"s__Blautia_wexlerae","GO.0006457.InterPro.",0.645256916996047,0.492173913043478,23,24,0.472942607762603,0.518048684544727
"s__Mediterraneibacter_faecis","GO.0006457.InterPro.",0.768492377188029,0.408102766798419,22,23,0.0730371287433571,0.141218940152365
"s__Mediterraneibacter_faecis","GO.0003887.InterPro.",0.714285714285714,0.231225296442688,22,23,0.0428955306252803,0.107080714703233
"s__Blautia_wexlerae","GO.0006520.InterPro.",0.543478260869565,0.693913043478261,24,24,0.430824591724572,0.480085015667812
"s__Dorea_longicatena","GO.0006520.InterPro.",0.626923076923077,0.30695652173913,25,24,0.176068146155827,0.24708369913992
"s__Mediterraneibacter_faecis","GO.0006520.InterPro.",0.590062111801242,0.690711462450593,22,23,0.595867109129359,0.628654055325472
"s__Roseburia_intestinalis","GO.0006520.InterPro.",0.66798418972332,-0.0148221343873518,23,23,0.0107704991857822,0.0576171818866611
"s__Holdemanella_biformis","GO.0006520.InterPro.",0.193984962406015,0.700751879699248,20,20,0.0547066669874706,0.119953462480917
"s__Peptostreptococcus_anaerobius","GO.0006520.InterPro.",-0.461764705882353,-0.681739130434783,16,24,0.344831775281776,0.402970024244487
"s__Prevotella_hominis","GO.0009982.InterPro.",0.166917293233083,0.775438596491228,20,19,0.0148873257033025,0.0649567552745762
"s__Prevotella_sp._885","GO.0009982.InterPro.",0.748872180451128,0.217750257997936,20,18,0.0377970223919884,0.101021132574951
"s__Mediterraneibacter_faecis","GO.0009982.InterPro.",0.726708074534162,0.265810276679842,22,23,0.0463903096475226,0.110956178925184
"s__Prevotella_hominis","GO.0001522.InterPro.",0.150375939849624,0.792982456140351,20,19,0.00899980034732307,0.0531847497912157
"s__Prevotella_sp._885","GO.0001522.InterPro.",0.730827067669173,0.265221878224974,20,18,0.0676385914218821,0.135430732427015
"s__Mediterraneibacter_faecis","GO.0001522.InterPro.",0.726708074534162,0.264822134387352,22,23,0.0460349741972503,0.110492987115708
"s__Prevotella_hominis","GO.0009451.InterPro.",0.150375939849624,0.792982456140351,20,19,0.00899980034732307,0.0531847497912157
"s__Prevotella_sp._885","GO.0009451.InterPro.",0.730827067669173,0.265221878224974,20,18,0.0676385914218821,0.135430732427015
"s__Mediterraneibacter_faecis","GO.0009451.InterPro.",0.726708074534162,0.264822134387352,22,23,0.0460349741972503,0.110492987115708
"s__Faecalibacterium_prausnitzii","GO.0000155.PANTHER.",0.32034188034188,0.665725578769057,26,22,0.136537093816449,0.208941995045874
"s__Ruminococcus_gnavus","GO.0000155.PANTHER.",0.689565217391304,0.381538461538462,24,25,0.150880066884588,0.221793698320345
"s__Prevotella_sp._885","GO.0004252.InterPro.",0.745864661654135,0.226006191950464,20,18,0.0419301286679734,0.106271188175726
"s__Extibacter_muris","GO.0004252.InterPro.",0.771428571428571,0.434468524251806,20,18,0.119892410190016,0.192701787312245
"s__Dorea_longicatena","GO.0004252.InterPro.",0.710769230769231,0.14,25,24,0.0158375110203455,0.0660074778257719
"s__Mediterraneibacter_faecis","GO.0004252.InterPro.",0.723320158102767,0.453557312252964,22,23,0.191449022872999,0.261087032352509
"s__Roseburia_intestinalis","GO.0004252.InterPro.",0.648221343873518,-0.300395256916996,23,23,0.000796600645055345,0.0237211320971616
"s__Peptostreptococcus_anaerobius","GO.0004252.InterPro.",-0.75,-0.255652173913043,16,24,0.0498742174198599,0.115004077815206
